,frequency,look_back,num_nodes,batch_size,accuracy,balanced_accuracy,weighted_f1_score,weighted_precision,weighted_recall,time
34,30s,3,64,12,0.9838751401224455,0.5948755167830211,0.9838751401224455,0.9838751401224455,0.9838751401224455,63.72959303855896
35,30s,3,64,24,0.9838751401224455,0.5943050802750846,0.9839985015098361,0.9841230490644132,0.9838751401224455,36.04983329772949
36,30s,6,16,6,0.9443677764360876,0.5459122007902374,0.9443677764360876,0.9443677764360876,0.9443677764360876,132.94832634925842
37,30s,6,16,12,0.9443677764360876,0.5451972614170962,0.9444484930892708,0.9445300776634559,0.9443677764360876,67.19236898422241
38,30s,6,16,24,0.9443677764360876,0.676181675894095,0.9446744642957751,0.9500224152067067,0.9443677764360876,37.27994751930237
39,30s,6,32,6,0.9758495773676039,0.5391623940202988,0.9758495773676039,0.9758495773676039,0.9758495773676039,132.23599934577942
40,30s,6,32,12,0.9758495773676039,0.5074469590779283,0.9758495773676039,0.9758495773676039,0.9758495773676039,70.45780277252197
41,30s,6,32,24,0.9445402794548905,0.5085226903660741,0.9447459749259574,0.9449536393088216,0.9445402794548905,38.44191551208496
42,30s,6,64,6,0.9758495773676039,0.5391623940202988,0.9758495773676039,0.9758495773676039,0.9758495773676039,143.45691299438477
43,30s,6,64,12,0.9758495773676039,0.5391623940202988,0.9758495773676039,0.9758495773676039,0.9758495773676039,79.33245158195496
44,30s,6,64,24,0.9760220803864068,0.5739226232143095,0.9762120178758268,0.9764033938267935,0.9760220803864068,47.2540717124939
45,30s,12,16,6,0.9313082499137039,0.4588386982734997,0.9313082499137039,0.9313082499137039,0.9313082499137039,182.23600006103516
46,30s,12,16,12,0.9313082499137039,0.5262230835073007,0.9314593446771791,0.9316140652179945,0.9313082499137039,102.37957191467285
47,30s,12,16,24,0.9313082499137039,0.5535965341155914,0.9451354675999297,0.9630590926124659,0.9313082499137039,56.111228704452515
48,30s,12,32,6,0.9624611667241975,0.4897041153909896,0.962574727981571,0.9626889636363182,0.9624611667241975,184.93782114982605
49,30s,12,32,12,0.9624611667241975,0.520479075740727,0.9626316265541753,0.962807860579516,0.9624611667241975,100.21338629722595
50,30s,12,32,24,0.9313082499137039,0.4927892082810836,0.9347363801248586,0.9504797618626316,0.9313082499137039,56.467429876327515
51,30s,12,64,6,0.9622885743872972,0.490639716289088,0.9622885743872972,0.9622885743872972,0.9622885743872972,205.90314841270447
52,30s,12,64,12,0.9627200552295478,0.523350068824591,0.9629305059720714,0.9631410887248463,0.9627200552295478,113.30052709579468
53,30s,12,64,24,0.9622885743872972,0.4906397162890879,0.9622885743872972,0.9622885743872972,0.9622885743872972,68.31574845314026
54,1min,3,16,6,0.9470507071403932,0.6457535102966915,0.9470507071403932,0.9470507071403932,0.9470507071403932,52.071850538253784
55,1min,3,16,12,0.9470507071403932,0.6328023980379068,0.9497904734456367,0.9737905716779798,0.9470507071403932,28.09162449836731
56,1min,3,16,24,0.9472231804070369,0.688616528168227,0.9476890426574591,0.9524228847228688,0.9472231804070369,16.099458932876587
57,1min,3,32,6,0.9786133149361849,0.6237795065215881,0.9786133149361849,0.9786133149361849,0.9786133149361849,53.318344831466675
58,1min,3,32,12,0.9786133149361849,0.7224959211116829,0.9788327482137466,0.9790658203472967,0.9786133149361849,28.836490392684937
59,1min,3,32,24,0.9470507071403932,0.690860580258665,0.9473716159667194,0.9520056808777058,0.9470507071403932,16.59718346595764
60,1min,3,64,6,0.9786133149361849,0.6717625454847872,0.9786133149361849,0.9786133149361849,0.9786133149361849,56.95496916770935
61,1min,3,64,12,0.9787857882028286,0.7222357939641091,0.9790074097215897,0.9792409257287106,0.9787857882028286,31.655080795288086
62,1min,3,64,24,0.9472231804070369,0.702736316707047,0.9475487303506055,0.9478762376085874,0.9472231804070369,18.596497535705566
63,1min,6,16,6,0.9330457290767903,0.5772167469509032,0.9332816442432311,0.9335195251476004,0.9330457290767903,65.75100374221802
64,1min,6,16,12,0.9330457290767903,0.5249927140636986,0.9354958951558423,0.9558503309828299,0.9330457290767903,36.0085768699646
65,1min,6,16,24,0.9330457290767903,0.6372165511999487,0.9426774976253092,0.9632189427131764,0.9330457290767903,20.483372449874878
66,1min,6,32,6,0.964106988783434,0.5646814687136505,0.9641912247623476,0.9642754818742215,0.964106988783434,67.17839860916138
67,1min,6,32,12,0.964106988783434,0.6572293045198211,0.9643435938259205,0.9645834967554224,0.964106988783434,36.52386140823364
68,1min,6,32,24,0.9328731665228646,0.5769445282791733,0.9332022354776668,0.933533416149727,0.9328731665228646,21.098447561264038
69,1min,6,64,6,0.9639344262295082,0.6081180449391597,0.9639344262295082,0.9639344262295082,0.9639344262295082,72.74738216400146
70,1min,6,64,12,0.9639344262295082,0.6532237289333029,0.9642011471196524,0.9644798162410796,0.9639344262295082,41.55464148521423
71,1min,6,64,24,0.9342536669542709,0.6263530716688895,0.9499115702140473,0.9663087881321933,0.9342536669542709,24.56379008293152
72,1min,12,16,6,0.9442045258248403,0.6024004717461229,0.9445195600091506,0.9448354874486292,0.9442045258248403,100.75467205047607
73,1min,12,16,12,0.9146657453791673,0.5650905921026891,0.9298893708917209,0.9458273106475429,0.9146657453791673,51.44913721084595
74,1min,12,16,24,0.9151839695975125,0.6193792991764339,0.9306958299376753,0.9469901515077299,0.9151839695975125,29.533554315567017
75,1min,12,32,6,0.9440317844187252,0.5567045881155981,0.9441149329011059,0.9441981022750651,0.9440317844187252,92.59462809562683
76,1min,12,32,12,0.9141475211608222,0.5721657965920729,0.914431517317082,0.9147163658894016,0.9141475211608222,50.171814918518066
77,1min,12,32,24,0.9148384867852825,0.5208003996870325,0.9301918254069645,0.9462617655738642,0.9148384867852825,29.57945203781128
78,1min,12,64,6,0.9443772672309553,0.6030780687547889,0.9447099093962215,0.9450428858752217,0.9443772672309553,107.40786457061768
79,1min,12,64,12,0.9138020383485922,0.5238588287359943,0.914010973192179,0.914223926013527,0.9138020383485922,59.27582907676697
80,1min,12,64,24,0.9143202625669373,0.5517189089202583,0.9280757490602356,0.9460775716445026,0.9143202625669373,35.08414578437805
