,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,2.6087019443511963,0.4013409912586212,2.5024149417877197,0.4492753744125366
1,2.2921013832092285,0.5344827771186829,2.1307506561279297,0.3971014618873596
2,1.9093226194381714,0.49808427691459656,1.88783597946167,0.4434782564640045
3,1.6728065013885498,0.5670498013496399,1.6508973836898804,0.4985507130622864
4,1.4316520690917969,0.6350574493408203,1.38677978515625,0.582608699798584
5,1.1804957389831543,0.7586206793785095,1.1265941858291626,0.747826099395752
6,0.9508560299873352,0.8352490663528442,0.9028232097625732,0.9101449251174927
7,0.764045774936676,0.8955938816070557,0.7211779356002808,0.9420289993286133
8,0.6194409132003784,0.9147509336471558,0.5785239338874817,0.947826087474823
9,0.508381724357605,0.9233716726303101,0.46925419569015503,0.9536231756210327
