,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,0.2927776575088501,0.944152295589447,0.09996461123228073,0.9790416955947876
1,0.042621124535799026,0.990963339805603,0.03334932401776314,0.9984136819839478
2,0.015298469923436642,0.9972184896469116,0.009564941748976707,0.9992116689682007
3,0.00715413223952055,0.9988239407539368,0.003991242498159409,0.9996058344841003
4,0.0044972579926252365,0.9989905953407288,0.0020998099353164434,0.9996635317802429
5,0.0031824083998799324,0.99928218126297,0.0014571392675861716,0.9996923804283142
6,0.0023776721209287643,0.9994616508483887,0.001206252840347588,0.9996923804283142
7,0.0018384819850325584,0.9996218681335449,0.0010315027320757508,0.9997692704200745
8,0.0014443515101447701,0.9996667504310608,0.0009004371822811663,0.9998077154159546
9,0.0011500975815579295,0.9997308254241943,0.0007970485603436828,0.9998461604118347
