,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,0.24961772561073303,0.9554356932640076,0.11798962950706482,0.9760956764221191
1,0.03545326367020607,0.992644727230072,0.042117465287446976,0.9964367151260376
2,0.012005912140011787,0.9975386261940002,0.012538732029497623,0.9975186586380005
3,0.006004507187753916,0.9985289573669434,0.006009745877236128,0.9990911483764648
4,0.003002735786139965,0.999418318271637,0.002761936979368329,0.999480664730072
5,0.0016964907990768552,0.9995673298835754,0.002240142086520791,0.9995816349983215
6,0.0008892010082490742,0.9998221397399902,0.0019830039236694574,0.9997403025627136
7,0.0007534085307270288,0.9998365640640259,0.0015265785623341799,0.9998269081115723
8,0.00034013742697425187,0.9999471306800842,0.001593764522112906,0.9998124837875366
9,0.00016419467283412814,0.9999951720237732,0.0015807576710358262,0.9997836351394653
