,loss,categorical_accuracy,val_loss,val_categorical_accuracy
0,0.4481099247932434,0.9304898381233215,0.1384735405445099,0.9673630595207214
1,0.09474075585603714,0.9768027067184448,0.06155483424663544,0.9915337562561035
2,0.045109737664461136,0.9903757572174072,0.034966807812452316,0.9957379698753357
3,0.023302629590034485,0.995719313621521,0.017306441441178322,0.9989164471626282
4,0.011949913576245308,0.9981867074966431,0.01711759902536869,0.9935275316238403
5,0.007262066472321749,0.9986628890037537,0.0073645347729325294,0.9990031123161316
6,0.003914147615432739,0.9992737174034119,0.006223348435014486,0.9990031123161316
7,0.002783922478556633,0.9994324445724487,0.005235549062490463,0.9990320205688477
8,0.0014506530715152621,0.9998172521591187,0.00540743675082922,0.9991765022277832
9,0.0009454390965402126,0.9998845458030701,0.00469313096255064,0.9991765022277832
