,frequency,look_back,num_nodes,batch_size,accuracy,balanced_accuracy,weighted_f1_score,weighted_precision,weighted_recall,time
44,30s,6,64,24,0.38427947598253276,0.30287037037037035,0.4129467113765172,0.4486396989021543,0.38427947598253276,5.34640645980835
45,30s,12,16,6,0.19730941704035873,0.15146983131251054,0.19761727502814025,0.19957575937140812,0.19730941704035873,8.360146522521973
46,30s,12,16,12,0.21524663677130046,0.1572948623894002,0.21930476100879687,0.22372799054054474,0.21524663677130046,7.340394496917725
47,30s,12,16,24,0.29596412556053814,0.211366919465511,0.35407417131974406,0.44201852586877616,0.29596412556053814,5.569344997406006
48,30s,12,32,6,0.19730941704035873,0.13312075766636244,0.19494738886049623,0.19300573121414458,0.19730941704035873,7.775303840637207
49,30s,12,32,12,0.21524663677130046,0.1572948623894002,0.21930476100879687,0.22372799054054474,0.21524663677130046,7.041055679321289
50,30s,12,32,24,0.21524663677130046,0.1572948623894002,0.21930476100879687,0.22372799054054474,0.21524663677130046,5.8938000202178955
51,30s,12,64,6,0.19730941704035873,0.13312075766636244,0.19494738886049623,0.19300573121414458,0.19730941704035873,7.533158540725708
52,30s,12,64,12,0.21524663677130046,0.1572948623894002,0.21930476100879687,0.22372799054054474,0.21524663677130046,6.965131759643555
53,30s,12,64,24,0.21524663677130046,0.1572948623894002,0.21930476100879687,0.22372799054054474,0.21524663677130046,5.947777509689331
54,1min,3,16,6,0.4,0.3124919584597004,0.43052492892309824,0.4670903010033445,0.4,5.095968246459961
55,1min,3,16,12,0.4260869565217391,0.4196127946127946,0.5347240126567444,0.7455146785581569,0.4260869565217391,4.503514766693115
56,1min,3,16,24,0.40869565217391307,0.3609422492401216,0.5288255611976654,0.786874767744333,0.40869565217391307,4.481642484664917
57,1min,3,32,6,0.3826086956521739,0.29941832858499523,0.391145571462595,0.4002006688963211,0.3826086956521739,5.043125629425049
58,1min,3,32,12,0.41739130434782606,0.32275027016406327,0.4521213472765358,0.4964325529542921,0.41739130434782606,4.2143940925598145
59,1min,3,32,24,0.4260869565217391,0.4196127946127946,0.5347240126567444,0.7455146785581569,0.4260869565217391,4.875301837921143
60,1min,3,64,6,0.3652173913043478,0.2906568789633306,0.3714584458214417,0.3793608324043107,0.3652173913043478,5.233457088470459
61,1min,3,64,12,0.3826086956521739,0.29941832858499523,0.391145571462595,0.4002006688963211,0.3826086956521739,4.782117605209351
62,1min,3,64,24,0.4260869565217391,0.3640896140896141,0.4805356628162207,0.5596209587513935,0.4260869565217391,4.958684682846069
63,1min,6,16,6,0.1875,0.13902326947173527,0.18664678344910904,0.18759920634920632,0.1875,6.418369770050049
64,1min,6,16,12,0.35714285714285715,0.28583877995642704,0.45814479638009054,0.6473214285714286,0.35714285714285715,5.2816996574401855
65,1min,6,16,24,0.3125,0.21391263057929724,0.3764140271493213,0.47767857142857145,0.3125,4.860057353973389
66,1min,6,32,6,0.19642857142857142,0.14121557454890787,0.19852941176470587,0.20089285714285715,0.19642857142857142,6.433745384216309
67,1min,6,32,12,0.23214285714285715,0.15538461538461537,0.24966577540106952,0.27053571428571427,0.23214285714285715,5.440603017807007
68,1min,6,32,24,0.26785714285714285,0.18096152677891336,0.3012487512487513,0.3449404761904762,0.26785714285714285,4.70690393447876
69,1min,6,64,6,0.19642857142857142,0.14121557454890787,0.19852941176470587,0.20089285714285715,0.19642857142857142,6.5906524658203125
70,1min,6,64,12,0.19642857142857142,0.14121557454890787,0.19852941176470587,0.20089285714285715,0.19642857142857142,5.751174449920654
71,1min,6,64,24,0.2767857142857143,0.18325193325193323,0.31608893557422973,0.3705357142857143,0.2767857142857143,5.1000049114227295
72,1min,12,16,6,0.33962264150943394,0.1778846153846154,0.39727463312368977,0.48442299254058796,0.33962264150943394,7.037330627441406
73,1min,12,16,12,0.3113207547169811,0.21515151515151518,0.36223137069638744,0.4330572619569987,0.3113207547169811,5.877808570861816
74,1min,12,16,24,0.39622641509433965,0.3445121951219512,0.502188679245283,0.704256252742431,0.39622641509433965,5.359473466873169
75,1min,12,32,6,0.20754716981132076,0.10092592592592593,0.21097770154373927,0.21456779289161915,0.20754716981132076,6.951334714889526
76,1min,12,32,12,0.27358490566037735,0.13846153846153847,0.2941410129096325,0.3189995612110575,0.27358490566037735,5.884563207626343
77,1min,12,32,24,0.2358490566037736,0.1380097382836275,0.26172455688965124,0.29404344010530936,0.2358490566037736,5.042195558547974
78,1min,12,64,6,0.20754716981132076,0.10092592592592593,0.21097770154373927,0.21456779289161915,0.20754716981132076,6.943714141845703
79,1min,12,64,12,0.20754716981132076,0.10092592592592593,0.21097770154373927,0.21456779289161915,0.20754716981132076,5.637320280075073
80,1min,12,64,24,0.27358490566037735,0.13846153846153847,0.2941410129096325,0.3189995612110575,0.27358490566037735,5.130146265029907
